100,100,1
70.6,79.1,2
61.1,75.9,3
67.9,72,4
66.4,71.9,5
42.4,71.7,6
44,70.9,7
68.8,70.8,8
49.8,70.7,9
70.9,70.6,10
63,70.2,11
70.7,68.8,12
59.9,68.5,13
62.9,68.5,14
71.9,67.9,15
70.2,67.7,16
67.7,67.1,17
71.7,66.9,18
59.5,66.4,19
55.7,64.7,20
70.8,64,21
75.9,64,22
62,63.8,23
62.5,63.2,24
79.1,63.2,25
59,63,26
56.2,63,27
58.1,62.9,28
55.5,62.5,29
64,62,30
61.7,61.7,31
50.5,61.2,32
19,61.1,33
45,60.9,34
63.2,59.9,35
59.2,59.6,36
56,59.5,37
37.3,59.5,38
61.2,59.3,39
63,59.2,40
56.2,59,41
47.3,58.7,42
52.7,58.6,43
66.9,58.6,44
35.8,58.1,45
51.7,58,46
51.9,57.5,47
50.8,56.6,48
53.2,56.2,49
45.3,56.2,50
48.3,56.1,51
50.7,56,52
51,55.7,53
51.6,55.5,54
54.3,55.5,55
46,55.5,56
58,54.9,57
38.1,54.3,58
49.1,54.2,59
53.4,54.2,60
34.3,53.7,61
49,53.4,62
49.8,53.3,63
59.3,53.2,64
44.6,53.1,65
45.5,53.1,66
37.6,52.7,67
60.9,52.6,68
51.8,52.2,69
59.6,52.1,70
57.5,52,71
26.4,51.9,72
51.8,51.8,73
49.5,51.8,74
43.6,51.7,75
52.6,51.7,76
44.3,51.6,77
40.4,51.6,78
33.3,51.3,79
45.1,51,80
63.2,50.8,81
46.9,50.8,82
58.7,50.7,83
29.2,50.7,84
51.7,50.7,85
46.4,50.6,86
47.5,50.6,87
39.2,50.5,88
34.6,50.5,89
56.6,50.4,90
48.4,50.1,91
39.3,50.1,92
42.6,49.8,93
29,49.8,94
46.7,49.7,95
44.5,49.5,96
39.8,49.5,97
55.5,49.1,98
50.6,49,99
49.5,48.7,100
50.1,48.4,101
39.7,48.3,102
39.7,48.2,103
51.3,48.1,104
32.7,48.1,105
43.2,47.7,106
36.6,47.7,107
39.6,47.5,108
31.2,47.3,109
49.7,47,110
46.5,47,111
58.6,46.9,112
59.5,46.8,113
36.4,46.7,114
64,46.5,115
50.4,46.4,116
67.1,46.3,117
68.5,46.3,118
41.8,46.2,119
39,46,120
42.1,45.9,121
58.6,45.6,122
42.8,45.5,123
41.3,45.3,124
52.2,45.1,125
63.8,45,126
34.9,45,127
54.2,45,128
53.3,44.7,129
44.7,44.7,130
32.2,44.6,131
37.7,44.6,132
37.9,44.5,133
38.9,44.5,134
42.5,44.5,135
41.2,44.3,136
35.5,44.2,137
27.4,44,138
50.6,44,139
36,43.9,140
45.9,43.9,141
39,43.9,142
72,43.7,143
46.2,43.7,144
64.7,43.6,145
43.7,43.6,146
42,43.3,147
45,43.2,148
26.8,43.1,149
68.5,42.8,150
39.2,42.8,151
37.4,42.6,152
33.6,42.5,153
56.1,42.5,154
28.7,42.4,155
42.2,42.2,156
39.3,42.2,157
32.9,42.2,158
47,42.1,159
42.5,42.1,160
50.5,42,161
55.5,42,162
41.2,42,163
34.6,41.8,164
34.7,41.8,165
32.1,41.5,166
52,41.4,167
54.9,41.3,168
48.1,41.3,169
43.1,41.3,170
42,41.3,171
42.1,41.2,172
43.9,41.2,173
37.8,41.2,174
31,41.1,175
51.6,41.1,176
41.3,41,177
34.9,40.9,178
30.8,40.8,179
34.9,40.7,180
41.3,40.7,181
36.6,40.6,182
36,40.6,183
43.7,40.5,184
44.7,40.4,185
29.7,40.4,186
37.1,40.3,187
39.5,40.2,188
46.3,40.2,189
48.2,40.1,190
40.1,40,191
37,40,192
50.8,39.8,193
30.3,39.8,194
39.2,39.7,195
41.1,39.7,196
40,39.7,197
36.5,39.7,198
33.3,39.7,199
34.3,39.7,200
44.5,39.6,201
39.3,39.5,202
38.8,39.4,203
18.4,39.4,204
43.9,39.3,205
38.5,39.3,206
40.2,39.3,207
36.2,39.2,208
42.8,39.2,209
37.1,39.2,210
34.3,39.2,211
25.4,39,212
38.9,39,213
34.5,38.9,214
21.8,38.9,215
37.9,38.9,216
31.3,38.9,217
48.7,38.9,218
53.1,38.8,219
39.8,38.8,220
50.7,38.8,221
37.2,38.8,222
38.8,38.7,223
50.7,38.5,224
38.3,38.3,225
44.2,38.1,226
36.7,38.1,227
33.4,38.1,228
41.4,37.9,229
33.6,37.9,230
33.4,37.9,231
53.7,37.8,232
47.7,37.7,233
32.6,37.6,234
37.6,37.6,235
29.9,37.6,236
35.5,37.5,237
32.9,37.4,238
26.4,37.3,239
32.6,37.3,240
40.6,37.2,241
32.7,37.1,242
36,37.1,243
47,37.1,244
29.1,37.1,245
35.5,37,246
31.9,37,247
41,36.9,248
44.6,36.8,249
24.5,36.7,250
36,36.7,251
31.9,36.6,252
10,36.6,253
40.8,36.5,254
37.5,36.4,255
31.3,36.2,256
40.4,36.1,257
36.7,36,258
48.1,36,259
39.7,36,260
37.3,36,261
37.9,36,262
28.3,35.9,263
39.7,35.9,264
38.8,35.9,265
31.8,35.8,266
35.9,35.8,267
24.1,35.7,268
39.2,35.5,269
39.4,35.5,270
33.2,35.5,271
31,35.4,272
33.8,35.2,273
30.8,35.1,274
45,35,275
32.9,35,276
35.2,34.9,277
28.5,34.9,278
37.1,34.9,279
35.9,34.9,280
33.4,34.9,281
31.8,34.7,282
34.1,34.7,283
44,34.6,284
35.9,34.6,285
40.2,34.6,286
37.6,34.6,287
26.7,34.5,288
40,34.5,289
33,34.4,290
34.7,34.3,291
29.7,34.3,292
42.2,34.3,293
32,34.3,294
32.5,34.1,295
